"","Columns","Rows","values"
"1","Low","Average Index","0.7"
"2","Low-Mid","Average Index","1.02"
"3","Mid","Average Index","1.48"
"4","Mid-High","Average Index","2.01"
"5","High","Average Index","3.08"
"6","Low","Average HH Income","$90,402"
"7","Low-Mid","Average HH Income","$72,272"
"8","Mid","Average HH Income","$61,535"
"9","Mid-High","Average HH Income","$57,535"
"10","High","Average HH Income","$53,542"
"11","Low","% With Bachelor's","48.9"
"12","Low-Mid","% With Bachelor's","30.6"
"13","Mid","% With Bachelor's","31.6"
"14","Mid-High","% With Bachelor's","50.3"
"15","High","% With Bachelor's","41.1"
"16","Low","% Renting","20.1"
"17","Low-Mid","% Renting","15.1"
"18","Mid","% Renting","31.3"
"19","Mid-High","% Renting","52.4"
"20","High","% Renting","58.6"
"21","Low","% Pop White","84.5"
"22","Low-Mid","% Pop White","79.7"
"23","Mid","% Pop White","77.1"
"24","Mid-High","% Pop White","69.8"
"25","High","% Pop White","61.8"
"26","Low","% Pop Immigrant","6.1"
"27","Low-Mid","% Pop Immigrant","4.3"
"28","Mid","% Pop Immigrant","4.5"
"29","Mid-High","% Pop Immigrant","12.3"
"30","High","% Pop Immigrant","12.9"
"31","Low","% With Insurance","93.1"
"32","Low-Mid","% With Insurance","91.6"
"33","Mid","% With Insurance","90.2"
"34","Mid-High","% With Insurance","89.5"
"35","High","% With Insurance","88.5"
"36","Low","Avg. Life Expectancy","80.9"
"37","Low-Mid","Avg. Life Expectancy","80"
"38","Mid","Avg. Life Expectancy","79.3"
"39","Mid-High","Avg. Life Expectancy","78.9"
"40","High","Avg. Life Expectancy","77.9"
