"","GEOID","Domain","Index","Number","Percent","NAMELSAD","COUNTYFP","CountyName","Ordering","Label"
"1","51029930202","sparsity","norm",1,17.8453986170639,"Tract 9302.02","029","Buckingham",1,"Population Sparsity"
"2","51029930202","nocrowd","norm",0.91,99.8,"Tract 9302.02","029","Buckingham",1,"1.5 Ppl/Room or less"
"3","51029930202","car","norm",0.66,90.6,"Tract 9302.02","029","Buckingham",1,"Car Access"
"4","51029930202","nochld","norm",0.7,61.1,"Tract 9302.02","029","Buckingham",1,"No Children"
"5","51029930202","bbcomp","norm",0.25,63.2,"Tract 9302.02","029","Buckingham",1,"Broadband Access"
"6","51029930202","lapop1share","norm",0.98,0.984006753009082,"Tract 9302.02","029","Buckingham",1,"Food Access"
"7","51029930202","index","norm",4.5,NA,"Tract 9302.02","029","Buckingham",1,"Composite Score"
"8","51029930201","sparsity","norm",1,56.3741521824309,"Tract 9302.01","029","Buckingham",1,"Population Sparsity"
"9","51029930201","nocrowd","norm",0.14,98.1,"Tract 9302.01","029","Buckingham",1,"1.5 Ppl/Room or less"
"10","51029930201","car","norm",0.8,94.5,"Tract 9302.01","029","Buckingham",1,"Car Access"
"11","51029930201","nochld","norm",0.66,59.2,"Tract 9302.01","029","Buckingham",1,"No Children"
"12","51029930201","bbcomp","norm",0.14,58.1,"Tract 9302.01","029","Buckingham",1,"Broadband Access"
"13","51029930201","lapop1share","norm",0.91,0.908479217048431,"Tract 9302.01","029","Buckingham",1,"Food Access"
"14","51029930201","index","norm",3.64,NA,"Tract 9302.01","029","Buckingham",1,"Composite Score"
"15","51029930102","sparsity","norm",1,33.5550904642283,"Tract 9301.02","029","Buckingham",1,"Population Sparsity"
"16","51029930102","nocrowd","norm",1,100,"Tract 9301.02","029","Buckingham",1,"1.5 Ppl/Room or less"
"17","51029930102","car","norm",0.84,95.6,"Tract 9301.02","029","Buckingham",1,"Car Access"
"18","51029930102","nochld","norm",0.72,62.5,"Tract 9301.02","029","Buckingham",1,"No Children"
"19","51029930102","bbcomp","norm",0.02,52.7,"Tract 9301.02","029","Buckingham",1,"Broadband Access"
"20","51029930102","lapop1share","norm",1,0.999999998458812,"Tract 9301.02","029","Buckingham",1,"Food Access"
"21","51029930102","index","norm",4.58,NA,"Tract 9301.02","029","Buckingham",1,"Composite Score"
"22","51029930101","sparsity","norm",1,28.56602456705,"Tract 9301.01","029","Buckingham",1,"Population Sparsity"
"23","51029930101","nocrowd","norm",0.64,99.2,"Tract 9301.01","029","Buckingham",1,"1.5 Ppl/Room or less"
"24","51029930101","car","norm",0.84,95.5,"Tract 9301.01","029","Buckingham",1,"Car Access"
"25","51029930101","nochld","norm",0.83,68.5,"Tract 9301.01","029","Buckingham",1,"No Children"
"26","51029930101","bbcomp","norm",0.22,61.8,"Tract 9301.01","029","Buckingham",1,"Broadband Access"
"27","51029930101","lapop1share","norm",1,0.999990920737785,"Tract 9301.01","029","Buckingham",1,"Food Access"
"28","51029930101","index","norm",4.52,NA,"Tract 9301.01","029","Buckingham",1,"Composite Score"
"29","51003011400","sparsity","norm",1,45.0659224386522,"Tract 114","003","Albemarle",2,"Population Sparsity"
