"","GEOID","Domain","Index","Number","Percent","NAMELSAD","COUNTYFP","CountyName","Ordering","Label"
"1","51029930202","sparsity","norm",1,"NA ppl/sq. mi.","Tract 9302.02","029","Buckingham",1,"Population Sparsity"
"2","51029930202","nocrowd","norm",0.91,"NA% Households","Tract 9302.02","029","Buckingham",1,"Less than 1.5 Ppl/Room"
"3","51029930202","car","norm",0.66,"NA% Households","Tract 9302.02","029","Buckingham",1,"Car Access"
"4","51029930202","nochld","norm",0.7,"NA% Families","Tract 9302.02","029","Buckingham",1,"No Children"
"5","51029930202","bbcomp","norm",0.25,"NA% Households","Tract 9302.02","029","Buckingham",1,"Broadband Access"
"6","51029930202","food","norm",0.98,"NA% Households","Tract 9302.02","029","Buckingham",1,"Food Access"
"7","51029930202","index","norm",4.5,"NA","Tract 9302.02","029","Buckingham",1,"Composite Score"
"8","51029930201","sparsity","norm",1,"NA ppl/sq. mi.","Tract 9302.01","029","Buckingham",1,"Population Sparsity"
"9","51029930201","nocrowd","norm",0.14,"NA% Households","Tract 9302.01","029","Buckingham",1,"Less than 1.5 Ppl/Room"
"10","51029930201","car","norm",0.8,"NA% Households","Tract 9302.01","029","Buckingham",1,"Car Access"
"11","51029930201","nochld","norm",0.66,"NA% Families","Tract 9302.01","029","Buckingham",1,"No Children"
"12","51029930201","bbcomp","norm",0.14,"NA% Households","Tract 9302.01","029","Buckingham",1,"Broadband Access"
"13","51029930201","food","norm",0.91,"NA% Households","Tract 9302.01","029","Buckingham",1,"Food Access"
"14","51029930201","index","norm",3.64,"NA","Tract 9302.01","029","Buckingham",1,"Composite Score"
"15","51029930102","sparsity","norm",1,"NA ppl/sq. mi.","Tract 9301.02","029","Buckingham",1,"Population Sparsity"
"16","51029930102","nocrowd","norm",1,"NA% Households","Tract 9301.02","029","Buckingham",1,"Less than 1.5 Ppl/Room"
"17","51029930102","car","norm",0.84,"NA% Households","Tract 9301.02","029","Buckingham",1,"Car Access"
"18","51029930102","nochld","norm",0.72,"NA% Families","Tract 9301.02","029","Buckingham",1,"No Children"
"19","51029930102","bbcomp","norm",0.02,"NA% Households","Tract 9301.02","029","Buckingham",1,"Broadband Access"
"20","51029930102","food","norm",1,"NA% Households","Tract 9301.02","029","Buckingham",1,"Food Access"
"21","51029930102","index","norm",4.58,"NA","Tract 9301.02","029","Buckingham",1,"Composite Score"
"22","51029930101","sparsity","norm",1,"NA ppl/sq. mi.","Tract 9301.01","029","Buckingham",1,"Population Sparsity"
"23","51029930101","nocrowd","norm",0.64,"NA% Households","Tract 9301.01","029","Buckingham",1,"Less than 1.5 Ppl/Room"
"24","51029930101","car","norm",0.84,"NA% Households","Tract 9301.01","029","Buckingham",1,"Car Access"
"25","51029930101","nochld","norm",0.83,"NA% Families","Tract 9301.01","029","Buckingham",1,"No Children"
"26","51029930101","bbcomp","norm",0.22,"NA% Households","Tract 9301.01","029","Buckingham",1,"Broadband Access"
"27","51029930101","food","norm",1,"NA% Households","Tract 9301.01","029","Buckingham",1,"Food Access"
"28","51029930101","index","norm",4.52,"NA","Tract 9301.01","029","Buckingham",1,"Composite Score"
"29","51003011400","sparsity","norm",1,"NA ppl/sq. mi.","Tract 114","003","Albemarle",2,"Population Sparsity"
"30","51003011400","nocrowd","norm",0.45,"NA% Households","Tract 114","003","Albemarle",2,"Less than 1.5 Ppl/Room"
"31","51003011400","car","norm",0.91,"NA% Households","Tract 114","003","Albemarle",2,"Car Access"
"32","51003011400","nochld","norm",0.57,"NA% Families","Tract 114","003","Albemarle",2,"No Children"
"33","51003011400","bbcomp","norm",0.36,"NA% Households","Tract 114","003","Albemarle",2,"Broadband Access"
"34","51003011400","food","norm",0.85,"NA% Households","Tract 114","003","Albemarle",2,"Food Access"
"35","51003011400","index","norm",4.15,"NA","Tract 114","003","Albemarle",2,"Composite Score"
"36","51003011303","sparsity","norm",0.88,"NA ppl/sq. mi.","Tract 113.03","003","Albemarle",2,"Population Sparsity"
"37","51003011303","nocrowd","norm",0.77,"NA% Households","Tract 113.03","003","Albemarle",2,"Less than 1.5 Ppl/Room"
"38","51003011303","car","norm",0.98,"NA% Households","Tract 113.03","003","Albemarle",2,"Car Access"
"39","51003011303","nochld","norm",0.72,"NA% Families","Tract 113.03","003","Albemarle",2,"No Children"
"40","51003011303","bbcomp","norm",1,"NA% Households","Tract 113.03","003","Albemarle",2,"Broadband Access"
"41","51003011303","food","norm",0.01,"NA% Households","Tract 113.03","003","Albemarle",2,"Food Access"
"42","51003011303","index","norm",4.37,"NA","Tract 113.03","003","Albemarle",2,"Composite Score"
